url	download_complete
www.ics.uci.edu/ugrad/policies/Grade_Options	complete
mhcid.ics.uci.edu/people/mhcid-faculty-and-staff	complete
www.ics.uci.edu/grad/GradPolicies_TransferCredit	complete
wics.ics.uci.edu/winter-quarter-2017-week-4-crime-and-mystery-game-night	complete
ngs.ics.uci.edu/tag/imaginary-story	complete
ngs.ics.uci.edu/tags-give-human-meaning	complete
sdcl.ics.uci.edu/2016/01/congratulations-lee-martie	complete
ngs.ics.uci.edu/vnit-golden-jubilee	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs122b-2017-winter-project2/SignatureReader.class	complete
chime.ics.uci.edu	complete
wics.ics.uci.edu/events/2018-05-21	complete
wics.ics.uci.edu/events/2018-05-20	complete
wics.ics.uci.edu/events/2018-05-22	complete
wics.ics.uci.edu/events/2018-05-28	complete
ngs.ics.uci.edu/real-time-maps	complete
www.ics.uci.edu/policies/Grade_Options	complete
ngs.ics.uci.edu/latent-web	complete
cml.ics.uci.edu/2016/01/winter-2016	complete
www.ics.uci.edu/about/search_external	complete
computableplant.ics.uci.edu/papers/bti1036/index.html	complete
grape.ics.uci.edu/wiki/public/raw-attachment/wiki/cs122b-2017-winter-project2/Session.war	complete
ngs.ics.uci.edu/workshops-at-mm09	complete
computableplant.ics.uci.edu/sw/clsmtools	complete
ngs.ics.uci.edu/sensor-net-for-traffic	complete
wics.ics.uci.edu/events/2018-05-07	complete
www.ics.uci.edu/community/news/spotlight_celebration_of_teaching_2013	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs122b-2018-spring-project5/jmeter_report.html	complete
flamingo.ics.uci.edu/releases/docs/StringMapDoc.html	complete
ngs.ics.uci.edu/tag/could-bold-thinking	complete
computableplant.ics.uci.edu/links.html	complete
wics.ics.uci.edu/events/2018-05-02	complete
mhcid.ics.uci.edu/admissions/admissions-overview/applicant-portfolio	complete
wics.ics.uci.edu/events/2018-06-08	complete
wics.ics.uci.edu/events/2018-06-09	complete
wics.ics.uci.edu/events/2018-06-06	complete
wics.ics.uci.edu/events/2018-06-07	complete
wics.ics.uci.edu/events/2018-06-04	complete
wics.ics.uci.edu/events/2018-06-05	complete
wics.ics.uci.edu/events/2018-06-02	complete
wics.ics.uci.edu/events/2018-06-03	complete
wics.ics.uci.edu/events/2018-06-01	complete
www.ics.uci.edu/community	complete
www.ics.uci.edu/computing/email/delivery_point	complete
sdcl.ics.uci.edu/2013/12/paper-on-calico-to-appear-at-chi-2014	complete
ngs.ics.uci.edu/tag/health-persona	complete
www.ics.uci.edu/community/events/openhouse/building.html	complete
www.ics.uci.edu/ugrad/policies/Computer_Acct_Backup	complete
cml.ics.uci.edu/tag/news/page/3	complete
cml.ics.uci.edu/tag/news/page/2	complete
www.ics.uci.edu/resources	complete
cml.ics.uci.edu/tag/news/page/6	complete
cml.ics.uci.edu/tag/news/page/5	complete
cml.ics.uci.edu/tag/news/page/4	complete
www.ics.uci.edu/grad/policies/GradPolicies_CopyrightInfringement	incomplete
ngs.ics.uci.edu/personal-analytics	complete
www.ics.uci.edu/about/bren/gallery/gallery_15_jpg	complete
mailman.ics.uci.edu/mailman/private/ivecg-community	complete
mailman.ics.uci.edu/mailman/private/icsb-mjolsness-tutorial	complete
computableplant.ics.uci.edu/gallery/Gallery/root_noGrowth/index.html	complete
mailman.ics.uci.edu/mailman/private/hanalab-admins	complete
computableplant.ics.uci.edu/2004/BGRS-2004-KAP-abstract.html	complete
grape.ics.uci.edu/wiki/public/raw-attachment/wiki/cs222p-2017-fall-project1/test.sh	complete
ngs.ics.uci.edu/tag/pattern-recognition	complete
ngs.ics.uci.edu/data-mining	complete
mcs.ics.uci.edu/about/course-descriptions	incomplete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs122b-2017-winter-project5/000-default.conf	complete
www.ics.uci.edu/grad/admissions	complete
cloudberry.ics.uci.edu	complete
grape.ics.uci.edu/wiki/public/zip-attachment/wiki/cs122b-2017-winter-project5	complete
grape.ics.uci.edu/wiki/public/raw-attachment/wiki/cs122a-2016-spring/createscript.sql	complete
ngs.ics.uci.edu/tag/big-data	complete
mailman.ics.uci.edu/mailman/listinfo/quasar-l	complete
ngs.ics.uci.edu/extreme-stories-12	complete
ngs.ics.uci.edu/extreme-stories-11	complete
ngs.ics.uci.edu/extreme-stories-10	complete
ngs.ics.uci.edu/tag/contextual-circles	complete
ngs.ics.uci.edu/author/ramesh	complete
computableplant.ics.uci.edu/papers/2004/people.html	complete
www.ics.uci.edu/ 	complete
ngs.ics.uci.edu/experiential-analysis	complete
computableplant.ics.uci.edu/gallery/Gallery/legend.html	complete
www.ics.uci.edu/grad/GradPolicies_Defense	complete
www.ics.uci.edu/%7esysarch	complete
www.ics.uci.edu/community/news/spotlight_russell	complete
www.ics.uci.edu/grad/GradPolicies_CommitteeMembers	complete
www.ics.uci.edu/grad/qa	complete
www.ics.uci.edu/%7eprojects/initiatives.html	complete
grape.ics.uci.edu/wiki/public/raw-attachment/wiki/cs122b-2018-spring-project2/Items.java	complete
mailman.ics.uci.edu/mailman/listinfo/nsf-career	complete
www.ics.uci.edu/ugrad/QA_Graduation	complete
www.ics.uci.edu/community/news/spotlight_su	complete
cml.ics.uci.edu/home/about-us	complete
emj.ics.uci.edu/wp-login	complete
luci.ics.uci.edu/projects.html	complete
www.ics.uci.edu/employment/employ_faculty	complete
www.ics.uci.edu/community/news/spotlight_maessen	complete
www.ics.uci.edu/community/news/blog_posts/Roxanna-Shaik-November2017	complete
sdcl.ics.uci.edu/2016/03/congratulations-dr-gerald	complete
ngs.ics.uci.edu/searching-real-world-using-images-from-mobile	complete
fr.ics.uci.edu/widgets/chilepersonfinder	complete
computableplant.ics.uci.edu/papers/XXX	complete
grape.ics.uci.edu/wiki/public/wiki/cs222p-2018-fall-project2-description	complete
cml.ics.uci.edu/2017/10/fall-2017	complete
www.ics.uci.edu/degrees/Second_BA	complete
ngs.ics.uci.edu/tag/mobile	complete
wics.ics.uci.edu/week-3-wicsvgdc-workshop	complete
computableplant.ics.uci.edu/sw/CambiumPlenum	complete
mailman.ics.uci.edu/mailman/listinfo/hans-subtest	complete
wics.ics.uci.edu/wics-fall-quarter-week-2-mentorship-mixer	complete
computableplant.ics.uci.edu/papers/2006/Yeast_ANN_PLOSCB06.pdf 	complete
cloudberry.ics.uci.edu/jianfeng-won-the-google-graduate-student-award-in-ics	complete
www.ics.uci.edu/community/news/notes_2010	complete
www.ics.uci.edu/community/news/notes_2011	complete
www.ics.uci.edu/about/search_business	complete
www.ics.uci.edu/community/news/notes_2013	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs222p-2018-fall-project4/test.sh	complete
ngs.ics.uci.edu/tag/persona	complete
www.ics.uci.edu/advising/ICS Credit by Exam Fall	complete
sdcl.ics.uci.edu/research/past-projects/lighthouse	complete
wics.ics.uci.edu/week-4-capgeminis-women-in-consulting-night-w-swe-icssc	complete
grape.ics.uci.edu/wiki/public/raw-attachment/wiki/cs122b-2018-winter-project5/TomcatPooling.war	complete
ngs.ics.uci.edu/author/ramesh/page/18	complete
ngs.ics.uci.edu/author/ramesh/page/19	complete
hobbes.ics.uci.edu/manual.shtml	complete
ngs.ics.uci.edu/author/ramesh/page/12	complete
ngs.ics.uci.edu/author/ramesh/page/13	complete
ngs.ics.uci.edu/author/ramesh/page/10	complete
ngs.ics.uci.edu/author/ramesh/page/11	complete
sdcl.ics.uci.edu/2015/06/welcome-gabriel	complete
ngs.ics.uci.edu/author/ramesh/page/17	complete
www.ics.uci.edu/community/news/spotlight_cesarano	complete
ngs.ics.uci.edu/current-technical-trends-in-internet	complete
flamingo.ics.uci.edu/releases/docs/GettingStartedDoc.html	complete
sdcl.ics.uci.edu/2018/07/adrianas-icse-2018-presentation	complete
sdcl.ics.uci.edu/author/andre	complete
ngs.ics.uci.edu/automatic-summarization-of-personal-photo-collections-pinaki-sinhas-thesis	complete
computableplant.ics.uci.edu/sw/tissue3D/index.html	complete
ngs.ics.uci.edu/personal/favorite-quotes	complete
www.ics.uci.edu/community/news/spotlight/spotlight_russell	complete
www.ics.uci.edu/community/events/openhouse/research08.html	complete
keys.ics.uci.edu	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs222p-2018-fall-project3/tree3.svg	complete
cml.ics.uci.edu/2010/05/2010_lixieintel	complete
ngs.ics.uci.edu/c-k-prahalad	complete
wics.ics.uci.edu/wics-week-0-meet-and-greet	complete
www.ics.uci.edu/courses	complete
www.ics.uci.edu/about_officers.html	complete
mhcid.ics.uci.edu/people/mentors	complete
futurehealth.ics.uci.edu/people	complete
www.ics.uci.edu/%7Erjammala	complete
ngs.ics.uci.edu/creating-peopleweb	complete
isg.ics.uci.edu	complete
support.ics.uci.edu/feed.xml	complete
www.ics.uci.edu/about/bren/gallery/gallery_13_jpg	complete
www.ics.uci.edu/community/icsjobs	complete
computableplant.ics.uci.edu/research.html	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs122b-2018-spring-project1/cs122b-setup-scripts.txt	complete
www.ics.uci.edu/community/news/spotlight_baldi	complete
www.ics.uci.edu/grad/degrees/degree_cs	complete
ngs.ics.uci.edu/the-power-of-pull	complete
mailman.ics.uci.edu/mailman/listinfo/asterixresearch	complete
www.ics.uci.edu/tech_talk	complete
www.ics.uci.edu/about_mission	complete
www.ics.uci.edu/labs_specs	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs122b-2017-winter-project3/employees.xml	complete
ngs.ics.uci.edu/tag/narratives	complete
ngs.ics.uci.edu/category/prospecting-information/page/5	complete
ngs.ics.uci.edu/category/prospecting-information/page/4	complete
ngs.ics.uci.edu/category/prospecting-information/page/7	complete
ngs.ics.uci.edu/category/prospecting-information/page/6	complete
ngs.ics.uci.edu/category/prospecting-information/page/3	complete
ngs.ics.uci.edu/category/prospecting-information/page/2	complete
ngs.ics.uci.edu/category/prospecting-information/page/9	complete
ngs.ics.uci.edu/category/prospecting-information/page/8	complete
www.ics.uci.edu/about/bren/gallery/gallery_14_jpg	complete
wics.ics.uci.edu/event/autogravity-job-shadowing	complete
cml.ics.uci.edu/2007/01/2007_jainbestpaper	complete
sdcl.ics.uci.edu/2015/12/crowdsourcing-affinity-diagrams-2	complete
ngs.ics.uci.edu/vloggercon	complete
cml.ics.uci.edu/2006/10/2006_netflix	complete
www.ics.uci.edu/ugrad/Computer_Acct_Backup	complete
sdcl.ics.uci.edu/2014/10/welcome-consuelo	complete
wics.ics.uci.edu/wics-co-hosts-google-panel	complete
www.ics.uci.edu/computing/contact/staff	complete
wics.ics.uci.edu/events/2018-02-15	complete
computableplant.ics.uci.edu/papers/2002/sw.html	complete
sdcl.ics.uci.edu/2013/12/new-workshop-on-crowdsourcing-in-software-engineering	complete
ngs.ics.uci.edu/geotagging-is-moving-closer-to-center	complete
wics.ics.uci.edu/events/2018-02-19	complete
ngs.ics.uci.edu/young-innovators-in-ics-180280	complete
ngs.ics.uci.edu/about-ramesh/events	complete
www.ics.uci.edu/grad/courses	complete
www.ics.uci.edu/about/2006-07	complete
sdcl.ics.uci.edu/2014/10/plateau-2014	complete
www.ics.uci.edu/ugrad/resources/Title_IX_Resources	complete
ngs.ics.uci.edu/tag/calendar	complete
www.ics.uci.edu/community/news/blog_posts/Ittai-Mann-March2018	complete
support.ics.uci.edu/sitemap	complete
computableplant.ics.uci.edu/papers/2004/outreach.html	complete
wics.ics.uci.edu/events/2018-01-19	complete
computableplant.ics.uci.edu/theses/guy/Plenum.html	complete
wics.ics.uci.edu/events/2018-01-14	complete
wics.ics.uci.edu/events/2018-01-15	complete
ngs.ics.uci.edu/tag/experiential	complete
wics.ics.uci.edu/events/2018-01-17	complete
ngs.ics.uci.edu/tag/wikipedia	complete
wics.ics.uci.edu/events/2018-01-11	complete
wics.ics.uci.edu/events/2018-01-12	complete
wics.ics.uci.edu/events/2018-01-13	complete
wics.ics.uci.edu/fall-quarter-2016-first-general-meeting	complete
computableplant.ics.uci.edu/2004/graphNotationsTR.pdf 	complete
ngs.ics.uci.edu/ubiquitous-connectivity	complete
cml.ics.uci.edu/2015/03/spring-2015	complete
grape.ics.uci.edu/wiki/public/zip-attachment/wiki/cs222-2017-fall-project3	complete
grape.ics.uci.edu/wiki/public/zip-attachment/wiki/cs222-2017-fall-project2	complete
www.ics.uci.edu/faculty/area_data	complete
www.ics.uci.edu/grad/policies/GradPolicies_Grading	incomplete
mailman.ics.uci.edu/mailman/admin/cmpro	complete
ngs.ics.uci.edu/tag/browsing	complete
wics.ics.uci.edu/events/2018-05-18	complete
emj.ics.uci.edu/2012/12	complete
www.ics.uci.edu/ugrad/policies/Computer_RemoteAccess	complete
mcs.ics.uci.edu/career/finding-a-job-internship	incomplete
www.ics.uci.edu/admissions	complete
wics.ics.uci.edu/fall-quarter-update/8323227800_335865d9be_b	complete
wics.ics.uci.edu/events/2018-05-16	complete
wics.ics.uci.edu/events/2018-05-17	complete
wics.ics.uci.edu/event/amazon-workshop	complete
www.ics.uci.edu/community/scholarships	complete
computableplant.ics.uci.edu/papers/2002/people.html	complete
ngs.ics.uci.edu/a-japanese-view-on-the-japneses-crisis	complete
mailman.ics.uci.edu/mailman/private/quasar-l	complete
www.ics.uci.edu/about/search_dept_in4matx-staff	complete
wics.ics.uci.edu/annual-mentorship-program-2013	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs222p-2017-fall-project4/test.sh	complete
www.ics.uci.edu/ugrad/Academic_Standing	complete
computableplant.ics.uci.edu/papers/2004/links.html	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2018-spring-project1-import-project	complete
computableplant.ics.uci.edu/BGRS-2004-meeting-abstract.html	complete
ngs.ics.uci.edu/tag/feedback	complete
cml.ics.uci.edu/2014/02/2014_acmfellows	complete
grape.ics.uci.edu/wiki/public/wiki/cs222p-2017-fall-project1-create-project	complete
ngs.ics.uci.edu/tag/personal-health	complete
computableplant.ics.uci.edu/people-principle.html	complete
www.ics.uci.edu/community/news/spotlight_butterworth_2013	complete
www.ics.uci.edu/sao/Appts_Walk-Ins	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs122b-2017-winter-project2/ShowSession.java	complete
www.ics.uci.edu/about/bren/gallery/gallery_06_jpg	complete
cml.ics.uci.edu/2014/09/fall-2014	complete
computableplant.ics.uci.edu/alphasite/publications-papers.html	complete
www.ics.uci.edu/ugrad/advising/New Transfer Students	complete
www.ics.uci.edu/community/alumni/stayconnected	complete
luci.ics.uci.edu/pages/Students/AmandaCullen/AmandaCullen.html	complete
ngs.ics.uci.edu/tag/digital-cameras	complete
ngs.ics.uci.edu/social-search-3	complete
ngs.ics.uci.edu/us-institute-of-peace	complete
www.ics.uci.edu/%7eprojects/partnerships.html	complete
wics.ics.uci.edu/event/intuit-workshop	complete
www.ics.uci.edu/computing/linux/security	complete
ngs.ics.uci.edu/back-to-cyber-3-now-and-future	complete
ngs.ics.uci.edu/tag/health	complete
cml.ics.uci.edu/2011/09/2011_fellowships	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs122b-2017-spring-project1/JDBC2.java	complete
wics.ics.uci.edu/category/news/page/7	complete
sdcl.ics.uci.edu/knocap	complete
wics.ics.uci.edu	complete
computableplant.ics.uci.edu/index-project.html	complete
computableplant.ics.uci.edu/models/Activator/WU-Activator-Update-2010/WUS-Jonsson-2005-Activator.xml	complete
www.ics.uci.edu/ugrad/policies/Course_Outside_UCI	complete
www.ics.uci.edu/ugrad/policies/Academic_Honesty	complete
www.ics.uci.edu/community/news/spotlight_scacchi_distinguished_alumnus_award	complete
www.ics.uci.edu/community/news/spotlight_jain	complete
computableplant.ics.uci.edu/gallery/Gallery/moving-cells/index.html	complete
webmail.ics.uci.edu	complete
ngs.ics.uci.edu/milkshake-drunk-researcher-and-problem-solving	complete
grape.ics.uci.edu/wiki/public/wiki/cs222-2017-fall-project1	complete
grape.ics.uci.edu/wiki/public/wiki/cs222-2017-fall-project2	complete
grape.ics.uci.edu/wiki/public/wiki/cs222-2017-fall-project3	complete
grape.ics.uci.edu/wiki/public/wiki/cs222-2017-fall-project4	complete
computableplant.ics.uci.edu/models/Activator/WU-Activator-Update-2010/cells.tsv	complete
www.ics.uci.edu/ugrad/degree_cse	complete
www.ics.uci.edu/%7elab/acct_activate	complete
www.ics.uci.edu/%7elab/printing	complete
grape.ics.uci.edu/wiki/public/zip-attachment/wiki/cs222p-2017-fall-project1-create-project	complete
www.ics.uci.edu/about/brenhall	complete
ngs.ics.uci.edu/go-to-mumbai	complete
cml.ics.uci.edu/2008/09/2008_speakerseries0809	complete
ngs.ics.uci.edu/tag/prediction-machines	complete
emj.ics.uci.edu/research-opportunities	complete
seal.ics.uci.edu/projects/deldroid/index.html	complete
www.ics.uci.edu/community/news/spotlight_farnworth	complete
www.ics.uci.edu/computing/policy/ethics	complete
cloudberry.ics.uci.edu/prof-li-give-talks-about-cloudberry-at-salesforce-and-huawei	complete
sdcl.ics.uci.edu/2018/07/marian-petre-in-collaboration-with-sdcl	complete
ngs.ics.uci.edu/what-the-web-cant-do	complete
mailman.ics.uci.edu/mailman/admin/isg-friends	complete
cml.ics.uci.edu/subscribe	complete
ngs.ics.uci.edu/china	complete
www.ics.uci.edu/lab_schedule	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs122b-2017-winter-project1/JDBC2.java	complete
checkmate.ics.uci.edu	complete
www.ics.uci.edu/community/news/spotlight_vgdc_game_developers_week	complete
computableplant.ics.uci.edu/papers/2002/gallery.html	complete
www.ics.uci.edu/ugrad/Change_of_Major	complete
ngs.ics.uci.edu/us-innovation-slowing-down	complete
computableplant.ics.uci.edu/2006/Yeast_ANN_PLOSCB06.pdf 	complete
asterixdb.ics.uci.edu/documentation/index.html	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2018-winter	complete
radicle.ics.uci.edu/links.html	complete
ngs.ics.uci.edu/smart-phones-to-become-phones	complete
wics.ics.uci.edu/events/2018-10-17	complete
cml.ics.uci.edu/2014/06/center-member-smyth-to-head-new-data-science-initiative	complete
wics.ics.uci.edu/events/2018-10-15	complete
www.ics.uci.edu/computing/google_apps	complete
wics.ics.uci.edu/event/study-session	complete
support.ics.uci.edu/computing/students	complete
alumni.ics.uci.edu/2008/04/07/king-of-risc	complete
ngs.ics.uci.edu/tag/lifelog	complete
psearch.ics.uci.edu	complete
mailman.ics.uci.edu/mailman/private/isg-friends	complete
calendar.ics.uci.edu/department/information_computer_sciences/calendar	complete
www.ics.uci.edu/computing/network	complete
www.ics.uci.edu/community/events/openhouse/research02.html	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs222-2017-fall-project4/test.sh	complete
ngs.ics.uci.edu/social-life-networks-sln	complete
wics.ics.uci.edu/event/presidents-day-2	incomplete
wics.ics.uci.edu/wics-spring-quarter-week-7-women-in-tech-panel-with-sendgrid	complete
ngs.ics.uci.edu/tag/food	complete
computableplant.ics.uci.edu/gallery/Gallery/published/activatorLattice.html	complete
wics.ics.uci.edu/category/news/page/10	complete
cml.ics.uci.edu/2007/08/2007_studentscomp	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs222-2017-fall-project2/test.sh	complete
www.ics.uci.edu/ugrad/Second_BA	complete
www.ics.uci.edu/ugrad/Title_IX_Resources	complete
ngs.ics.uci.edu/tag/health-state	complete
ngs.ics.uci.edu/sentiment-analysis	complete
grape.ics.uci.edu/wiki/public/raw-attachment/wiki/cs122a-2016-spring/2016s-cs122a-hw5-template.txt	complete
www.ics.uci.edu/%7elab/students/printing	complete
emj.ics.uci.edu/projects/computational-biology-projects	complete
www.ics.uci.edu/%7Egts/words.html	complete
grape.ics.uci.edu/wiki/public/raw-attachment/wiki/cs122b-2018-winter-project4/AjaxTest.war	complete
ngs.ics.uci.edu/new-askcom	complete
sdcl.ics.uci.edu/research/calico	complete
wics.ics.uci.edu/event/potential-wics-study-session	complete
wics.ics.uci.edu/first-annual-wics-games	complete
wics.ics.uci.edu/movie-night	complete
flamingo.ics.uci.edu/releases/docs	complete
wics.ics.uci.edu/fall-quarter-2017-week-0-wics-social	complete
ngs.ics.uci.edu/author/ramesh/page/27	complete
ngs.ics.uci.edu/author/ramesh/page/26	complete
ngs.ics.uci.edu/author/ramesh/page/25	complete
ngs.ics.uci.edu/author/ramesh/page/24	complete
ngs.ics.uci.edu/author/ramesh/page/23	complete
www.ics.uci.edu/community/news/spotlight_winbladh	complete
ngs.ics.uci.edu/author/ramesh/page/21	complete
cml.ics.uci.edu/2018/10/faculty-positions-at-uc-irvine	complete
mhcid.ics.uci.edu/people/mhcid-current-students	complete
sdcl.ics.uci.edu/2012/10/groupwork-on-tablets	complete
www.ics.uci.edu/faculty/area_environmental	complete
www.ics.uci.edu/ugrad/Course_updates	complete
grape.ics.uci.edu/wiki/public/wiki/cs222p-2018-fall	complete
www.ics.uci.edu/ugrad/degrees/Second_BA_DS	complete
wics.ics.uci.edu/first-project-meeting-by-wics	complete
grape.ics.uci.edu/wiki/public/wiki/cs222p-2017-fall-project2	complete
www.ics.uci.edu/community/news/notes_2014	complete
computableplant.ics.uci.edu/2006/plcb-02-12-12_Wold.pdf 	complete
mcs.ics.uci.edu/prospective-students/cost-and-financial-aid	incomplete
computableplant.ics.uci.edu/alphasite/people-former.html	complete
grape.ics.uci.edu/wiki/public/raw-attachment/wiki/cs222p-2017-fall-project2/test.sh	complete
cml.ics.uci.edu/2014/02/anandkumar-receives-early-career-sloan-research-fellowship	complete
ngs.ics.uci.edu/ten-myths-for-entrepreneurs	complete
sdcl.ics.uci.edu/tag/south-korea	complete
www.ics.uci.edu/area	complete
ngs.ics.uci.edu/new-channels	complete
www.ics.uci.edu/computing/unix/printing	complete
asterixdb.ics.uci.edu/fuzzyjoin-mapreduce	complete
ngs.ics.uci.edu/more-on-camera	complete
ngs.ics.uci.edu/mmgc-multimedia-grand-challenge	complete
cloudberry.ics.uci.edu/2017	incomplete
asterix.ics.uci.edu/FAQ.html	complete
sprout.ics.uci.edu	complete
wics.ics.uci.edu/event/the-portal	complete
asterix.ics.uci.edu/fuzzyjoin	complete
ngs.ics.uci.edu/researcher	complete
www.ics.uci.edu/computing/ethics	complete
www.ics.uci.edu/grad/sao	complete
futurehealth.ics.uci.edu/news-events/uci-events	complete
